ID,Lat,Long,PC1,PC2,PC3
1965,47.222543,39.718732,-0.0286675,0.00664441,0.0092822
1130,40.019745,34.586129,0.0587619,-0.0543215,-0.0350347
383,40.775258,14.586258,0.0323827,0.0112994,0.00930584
144,46.35587,20.27821,0.0815435,0.0148305,-0.00766671
1852,58.58,-3.747,-0.0257609,0.00517671,0.0204531
2492,37.416067,-4.479687,0.00909318,0.00644172,0.00996365
527,40.349167,17.7275,0.0305631,-0.0315878,-0.0184975
1624,40.91666,44.5,-0.00730922,-0.062397,-0.0357707
1715,41.313,36.33,0.0457949,-0.0512359,-0.0295619
1356,45.301785,27.966771,-0.0794891,-0.0319244,0.00273523
1811,49.916111,22.860833,-0.0676138,-0.0135821,0.00977344
959,51.86256,-2.245031,-0.0176639,0.0139224,0.0202518
1264,37.885,12.475,0.051989,-0.0564841,-0.041569
446,38.783176,-0.34,0.0703633,0.0475002,0.0173161
1871,63.43,10.39,-0.0102153,0.00925993,0.0136226
699,54.94827,50.36691,-0.0780924,-0.0538285,0.022686
1916,56.852,24.272,-0.0557099,0.0269054,0.00244241
1354,47.924455,18.210594,0.0980524,0.00066294,-0.00120166
2238,36.23778,36.38472,0.0499508,-0.0535731,-0.0367786
1680,53.079803,-1.640942,-0.024532,0.0134804,0.0193534
1143,52.91277778,50.99055556,-0.100958,-0.0323432,0.00180829
1470,53.919396,-0.766635,-0.0191277,0.00922905,0.0183538
600,39.2338,-8.6875,0.0255493,-0.00929803,-0.00462801
1044,46.28333333,17.85,0.0260325,-0.0169591,-0.0104493
1212,53.184298,5.444314,-0.0285165,0.0102973,0.0195146
55,40.783333,8.471667,0.074224,0.0378464,0.00817559
1405,46.28333333,17.85,-0.0240758,0.00920038,0.0134712
2149,41.96,13.54,0.0708844,0.0466083,0.00576181
1891,47.217632,39.711528,-0.0690006,-0.0376711,0.00909193
1993,48.412856,18.074594,-0.0433845,0.0206031,0.00457982
2071,44.779264,25.879269,0.012865,0.043075,-0.0233348
2052,47.520669,17.01452,-0.00825437,-0.00572325,-0.0027848
209,50.84,4.34,-0.0103254,0.0113853,0.0101415
1831,42.802275,-4.729466,0.0103708,0.0211817,0.0174386
1824,52.93106,-8.187431,0.0734715,0.0414139,0.0142853
1,60.0,32.3,-0.0341236,0.00984007,0.017822
36,46.5500831,21.1835391,-0.00442301,-0.0109198,0.00178633
1252,58.38,13.65,-0.0479349,0.01367,0.0152187
908,40.615278,15.058611,0.0776816,0.0225588,0.00391702
1607,56.794453,40.419147,-0.15285,0.0512526,-0.0480236
765,40.615278,15.058611,0.0800392,0.0252014,0.00498166
1617,63.58,27.03,-0.0469997,0.00691969,0.0232325
165,51.3603,1.3405,-0.0276341,0.0073705,0.0193284
1291,50.145766,14.221421,0.0597411,0.0444851,0.00245553
2483,47.747945,20.412493,0.0984672,0.00511433,-0.00798868
1094,41.9235,-1.2506,0.0166279,0.00265874,0.00633477
147,40.416667,45.2,-0.0056887,-0.0680929,-0.0311415
374,54.54222222,-5.956666667,0.0728539,0.0477255,0.0141895
1621,42.581486,59.515718,-0.0381116,-0.0709516,-0.0101958
797,50.044984,14.339296,-0.0368819,0.000914178,0.00949723
541,59.61731,17.72361,-0.0338096,0.0176971,0.018844
1658,44.595879,22.010568,-0.101307,0.168341,-0.0750225
1415,46.8168806,1.684480556,0.0045296,0.00856975,0.00992928
1888,47.523479,-3.154599,-0.00355472,0.0231849,0.0140551
2246,53.919396,-0.766635,-0.0192526,0.00295578,0.0209238
230,47.674394,17.630908,0.000334945,0.0117631,0.00172951
40,38.9202,-6.3447,0.0152778,0.0114743,0.00967374
1778,41.97,12.51,0.0180244,-0.00279913,-0.000277574
1768,43.697778,13.091389,0.0278382,-0.0185897,-0.0103204
1872,46.0136,45.1836,-0.0818964,-0.110404,0.0491063
1205,45.488546,16.369357,-0.00902295,-0.017871,0.00186577
1549,47.269,39.335,0.0211231,-0.012,-0.00056284
316,50.710999,-2.611068,-0.0115926,0.011363,0.0153506
1515,63.58,27.03,-0.051182,0.00613222,0.017614
1085,51.274623,1.079921,-0.0203848,0.00644751,0.0186838
601,41.95,12.57,0.0331275,-0.0328085,-0.0150918
787,53.919396,-0.766635,-0.0237273,0.0167051,0.0198967
968,45.46,28.34,-0.09712,-0.048014,0.000339358
2319,54.53,-2.16,-0.0180526,0.012491,0.0199448
2297,41.8336869,12.468561,0.0475415,-0.0428266,-0.0239557
1176,47.269,39.335,-0.0178848,0.00555766,0.0102194
2111,40.810297,8.444178,0.0735024,0.0376158,0.0117928
478,47.97,3.56,0.076701,0.0392529,0.0106204
2434,52.26136,0.06869,-0.0231438,0.00747016,0.0165736
487,56.794453,40.419147,-0.151044,0.0460862,-0.0435271
1379,48.579752,16.46931,0.100774,0.00254567,-0.00554992
155,50.156484,14.538727,-0.0345965,0.00342786,0.0124033
2435,36.445,-6.21,0.0737529,0.0425646,0.0148967
1989,43.48,11.12,0.0272472,-0.0137762,-0.00508545
1336,47.39154,18.892637,-0.035627,0.00444124,0.0124167
1185,54.170989,-0.605739,-0.0350285,0.00567522,0.0261306
5,47.866493,21.116581,0.0843031,0.012965,-0.00685174
1857,53.34,-6.27,-0.023637,0.00271289,0.0198046
1458,54.676567,-1.236391,-0.0265979,0.00719127,0.0240854
1653,48.579752,16.46931,0.0950644,0.00839597,-0.00554023
503,51.95241,-2.078732,-0.0261556,0.00381496,0.0229029
2009,52.18,0.14,-0.0221526,0.0102795,0.0216981
261,44.640262,22.30333,-0.1007,0.163644,-0.070218
